正地铁口精装大四房，户型周正，业主诚心出售,香樟雅郡 - 四方坪,总价170万,单价10254元/平米,4室2厅 | 165.8平米 | 南 北 | 精装 | 高楼层(共18层) | 2008年建 | 塔楼
洋湖湿地好房，适合改善型用户及大家庭居住,中天栖溪里 - 洋湖垸,总价231万,单价16383元/平米,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共16层) | 2012年建 | 板塔结合
尚都花园城朝南周正九成新三房，诚心出售随时看房,尚都花园城 - 泉塘,总价96万,单价8206元/平米,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共33层) | 2011年建 | 板塔结合
得房率很高的舒适四房，户型周正，随时看房,中海国际社区2期 - 含浦,总价147.5万,单价11210元/平米,4室2厅 | 131.58平米 | 南 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼
滨江新城金融芯 南北四房 次新小区 地铁近 看房方便,兰亭都荟 - 桐梓坡,总价186万,单价13227元/平米,4室2厅 | 140.63平米 | 南 北 | 其他 | 中楼层(共32层) | 2014年建 | 板塔结合
宜居莱茵城 3室1厅 北,宜居莱茵城 - 河西人人乐,总价106万,单价10564元/平米,3室1厅 | 100.35平米 | 北 | 简装 | 中楼层(共31层) | 2010年建 | 板塔结合
桂花坪地铁口通透复式 带大露台 均价九千多 随时看房,生活艺术城 - 德思勤,总价157万,单价9989元/平米,4室2厅 | 157.18平米 | 南 北 | 精装 | 高楼层(共11层) | 2007年建 | 板塔结合
五矿紫湖香醍 使用面积大 毛坯三房 只有一个点的契税,五矿紫湖香醍 - 暮云,总价79.8万,单价8986元/平米,3室2厅 | 88.81平米 | 东 | 其他 | 高楼层(共18层) | 2013年建 | 板塔结合
大托地铁口 央企大盘 朝南小三房 采光好视野好,中建芙蓉嘉苑 - 省政府,总价98万,单价12168元/平米,3室2厅 | 80.54平米 | 南 | 简装 | 高楼层(共12层) | 2013年建 | 板塔结合
润和紫郡新上精装四房，价格实惠,润和紫郡 - 金星北,总价137万,单价10805元/平米,4室2厅 | 126.8平米 | 南 | 精装 | 中楼层(共33层) | 2014年建 | 塔楼
双阳台南向二房 高楼层 清水毛坯 户型周正 花园景观,北辰三角洲奥城E5区 - 北辰三角洲,总价140万,单价14772元/平米,2室2厅 | 94.78平米 | 南 | 毛坯 | 高楼层(共38层) | 2013年建 | 板塔结合
丽景香山清水毛坯复式  带超大景观阳台,中城丽景香山 - 武广新城,总价160万,单价12905元/平米,3室2厅 | 123.99平米 | 南 | 毛坯 | 高楼层(共11层) | 2012年建 | 板楼
保利花园三期 精装修三房 带花园！,保利花园三期 - 省政府,总价124.8万,单价11754元/平米,3室1厅 | 106.18平米 | 南 | 精装 | 低楼层(共15层) | 2010年建 | 板楼
长郡和美星城 大户型中 全新毛坯 诚心出售 出价商量,和美星城 - 暮云,总价141.5万,单价8429元/平米,4室2厅 | 167.88平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼
五一路袁家岭旁人民新村无分摊小三房出售,人民新村社区 - 火车站,总价49万,单价8199元/平米,3室1厅 | 59.77平米 | 南 北 | 其他 | 7层 | 1992年建 | 板楼
